,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
137,2022-11-15,3999.5,11904.25,398.489990234375,4050.75,12118.75,402.30999755859375,3960.0,11761.75,394.489990234375,3974.75,11768.5,401.1499938964844,2230543,771822,93194500.0
138,2022-11-16,3968.5,11739.5,395.45001220703125,4015.75,11963.0,397.7799987792969,3962.0,11706.5,394.7900085449219,3992.0,11882.0,396.7799987792969,1502501,577864,68508500.0
139,2022-11-17,3955.25,11710.5,394.239990234375,3990.25,11827.5,394.95001220703125,3912.5,11528.25,390.1400146484375,3977.25,11777.75,390.4599914550781,1560808,658469,74496300.0
140,2022-11-18,3974.0,11708.0,396.0299987792969,3994.0,11843.0,397.80999755859375,3942.5,11607.0,393.0400085449219,3960.5,11747.75,397.739990234375,1534155,585873,92922500.0
141,2022-11-21,3958.0,11588.0,394.5899963378906,3982.0,11756.0,395.82000732421875,3937.5,11553.0,392.6600036621094,3972.5,11723.0,394.6400146484375,1178421,477970,51243200.0
142,2022-11-22,4010.25,11754.5,399.8999938964844,4012.5,11759.25,400.07000732421875,3945.25,11526.5,395.1499938964844,3957.75,11588.0,396.6300048828125,1161999,531087,60429000.0
143,2022-11-23,4033.0,11862.75,402.4200134277344,4039.5,11892.75,402.92999267578125,4002.0,11720.0,399.30999755859375,4010.0,11741.5,399.54998779296875,1281153,474645,68261600.0
144,2022-11-25,4032.5,11782.75,402.3299865722656,4049.25,11933.0,402.9100036621094,4024.75,11766.25,401.5400085449219,4038.75,11878.0,401.8299865722656,608795,252366,30545400.0
145,2022-11-28,3970.25,11616.25,395.9100036621094,4024.0,11788.5,400.80999755859375,3960.25,11575.25,395.1099853515625,4020.25,11731.25,399.0899963378906,1481503,506250,67881600.0
146,2022-11-29,3962.0,11524.75,395.2300109863281,3990.25,11704.5,397.29998779296875,3941.25,11465.0,393.29998779296875,3972.0,11625.0,396.04998779296875,1500171,555859,52310000.0
147,2022-11-30,4081.25,12042.25,407.67999267578125,4093.5,12078.5,407.67999267578125,3942.75,11497.75,393.4800109863281,3962.25,11520.0,395.489990234375,2479997,769082,144566700.0
148,2022-12-01,4081.75,12062.75,407.3800048828125,4110.0,12145.0,410.0,4054.5,11943.25,404.75,4094.5,12079.25,408.7699890136719,1834073,629297,76398200.0
149,2022-12-02,4075.5,12010.25,406.9100036621094,4085.5,12067.75,407.8599853515625,4006.75,11740.5,402.1400146484375,4077.5,12039.75,402.25,1849784,588295,85342700.0
150,2022-12-05,4003.25,11805.75,399.5899963378906,4075.75,12015.75,404.92999267578125,3987.25,11745.5,398.1700134277344,4074.0,12000.5,403.95001220703125,1497688,537924,77289800.0
151,2022-12-06,3945.0,11566.0,393.8299865722656,4014.75,11846.25,399.989990234375,3921.5,11502.0,391.6400146484375,4005.75,11812.0,399.4200134277344,1869101,657271,77972200.0
